,interview,task,meanpupilsize,stddevpupilsize,maxpupilsize,minpupilsize,startpupilsize,endpupilsize
123,EE-140,EE-140_allsc,-0.110089681876,0.232903411854,0.997125208811,-0.572044598112,-0.274853346801,-0.318441396993
124,EE-140,Reading,-0.0822849224485,0.253340220251,0.997125208811,-0.572044598112,-0.148051746241,-0.389767297308
125,EE-140,CookieTheft,-0.109773651623,0.206384453801,0.55728215687,-0.540344197972,-0.223340196574,-0.508643797832
126,EE-140,PupilCalib,-0.00599432811468,0.234261411589,0.501806456626,-0.318441396993,-0.274853346801,0.188765005245
127,EE-146,EE-146_allsc,-0.0589544179461,0.072477916123,0.153641157623,-0.424596670768,-0.000839046530131,-0.149650252366
128,EE-146,Reading,-0.0118651605799,0.0470097850761,0.112540919821,-0.271533716194,-0.0561117801263,-0.0532772809676
129,EE-146,Memory,-0.12607499448,0.0532044050199,0.153641157623,-0.384913682545,0.104037422345,-0.149650252366
130,EE-146,CookieTheft,-0.0973033667167,0.0573706811035,0.0983684240272,-0.424596670768,0.0147506988432,-0.109967264143
131,EE-146,PupilCalib,-0.00225279672784,0.0334184752034,0.0643544341218,-0.272950965773,-0.000839046530131,-0.0249322893798
132,EE-147,EE-147_allsc,-0.0308238410271,0.0898804243376,0.168294699095,-0.54549370714,0.00662467546076,0.0432292091139
133,EE-147,Reading,-0.0119612393019,0.0778030201971,0.156093187878,-0.417377839355,0.0630566648426,-0.176397992805
134,EE-147,Memory,0.0354374979693,0.0584423796239,0.168294699095,-0.3106146162,0.0966108206913,0.0432292091139
135,EE-147,PupilCalib,0.00591528527368,0.031209234024,0.0905100650825,-0.0970881698897,0.00662467546076,0.0722077982559
136,EE-174,Reading,-0.00788321228187,0.0685293667282,0.211841701878,-0.392381891775,-0.0665084929511,0.0319324296105
137,EE-174,CookieTheft,-0.13780664961,0.055520084283,0.0217488858972,-0.453483154055,-0.0104990025281,-0.175132959226
138,EE-174,PupilCalib,0.00324804674137,0.0394783387112,0.0692720898924,-0.137793298944,-0.0716002648077,0.0353269441816
139,EE-190,EE-190_allsc,-0.0488910127717,0.0692660994893,0.131518341586,-0.36739320384,0.0255403989299,-0.194567635817
140,EE-190,Reading,0.00713166048128,0.0416250465302,0.131518341586,-0.152176458754,0.0239099690428,-0.00706819881036
141,EE-190,Memory,-0.0957048081167,0.0492242674824,0.0793445852012,-0.36739320384,0.0288012587039,-0.194567635817
142,EE-190,CookieTheft,-0.115191770645,0.044923657724,0.0663011461051,-0.264676120958,0.0255403989299,-0.096741842596
143,EE-190,PupilCalib,0.000256958900306,0.0240646381257,0.0760837254272,-0.0608723850817,0.0255403989299,0.0190186793818
144,EH-061,EH-061_allsc,0.0287020352068,0.0873304962157,0.442967097884,-0.401032525406,-0.0130649566356,0.116257566288
145,EH-061,Reading,-0.0273799836448,0.0639532001628,0.402128406435,-0.296666980591,0.0277737348139,0.0436554481554
146,EH-061,Memory,0.122359356508,0.0516989603349,0.313644574961,-0.251290656758,0.11852638248,0.116257566288
147,EH-061,CookieTheft,0.028876354551,0.0674188866255,0.338601553069,-0.19910788435,-0.0675165452351,0.020967286239
148,EH-061,PupilCalib,-0.0146158787487,0.150628310184,0.442967097884,-0.401032525406,-0.0130649566356,-0.192301435775
149,EH-164,EH-164_allsc,-0.0976569648486,0.128866660076,0.799908184917,-0.487570623511,-0.00716808305289,-0.359463279389
150,EH-164,Reading,-0.0913469352458,0.0762695897705,0.668598157192,-0.314625708946,0.0520815636036,-0.106451274748
151,EH-164,Memory,-0.100545268886,0.146137976766,0.582125699909,-0.487570623511,-0.000762715846778,-0.359463279389
152,EH-164,CookieTheft,-0.125814207863,0.172508580903,0.799908184917,-0.473158547297,0.0408721709929,-0.261781429496
153,EH-164,PupilCalib,0.00420954391049,0.0446777717328,0.292282833833,-0.183315681221,-0.00716808305289,-0.0295868682743
154,EH-173,EH-173_allsc,-0.0555420497256,0.0747004295401,0.351160944632,-0.271432823973,0.0420718396507,0.10830521929
155,EH-173,Reading,-0.0318089815282,0.065213831655,0.351160944632,-0.271432823973,-0.0153304227029,0.00674737051002
156,EH-173,Memory,-0.0986768490489,0.0667881182893,0.240771978567,-0.253770589403,-0.0153304227029,0.10830521929
157,EH-173,CookieTheft,-0.0888703791718,0.072260979951,0.209863068069,-0.236108354832,-0.00208374677516,-0.125719388768
158,EH-173,PupilCalib,-1.33177803019e-05,0.0535569651013,0.192200833499,-0.191952768406,0.0420718396507,0.00895514983131
159,EI-0001,EI-0001_allsc,0.0581808709752,0.049227043229,0.283857981431,-0.286745565872,0.0124250439988,0.0797879627776
160,EI-0001,Reading,0.0441494647477,0.0484559310777,0.264045358261,-0.183719925387,0.0540315526563,0.0698816511924
