,interview,task,meandistance,stddevdistance,maxdistance,mindistance,startdistance,enddistance
524,HE-150,HE-150_allsc,758.371331899,6.94298248278,782.67,721.24,757.82,759.22
525,HE-150,Reading,756.060687657,7.43657750607,778.68,721.24,759.45,760.11
526,HE-150,Memory,763.788239027,4.04265579472,778.58,754.63,760.4,759.22
527,HE-150,CookieTheft,759.604359627,5.0211658153,782.67,740.31,758.03,761.95
528,HE-150,PupilCalib,754.36203336,1.23298486001,758.91,751.9,757.82,754.0
529,HE-155,HE-155_allsc,629.734342868,55.8397163421,704.79,455.39,622.48,654.51
530,HE-155,Reading,672.555370413,12.4356755184,704.79,610.83,670.17,669.57
531,HE-155,PupilCalib,621.740958904,1.28823538529,625.53,617.73,622.48,622.27
532,HH-029,HH-029_allsc,666.18800979,9.19438198484,704.0,579.29,681.55,641.88
533,HH-029,Reading,665.911771598,8.9600368089,687.8,615.99,676.81,660.67
534,HH-029,Memory,664.163377554,8.87058780906,704.0,579.29,678.03,641.88
535,HH-029,CookieTheft,670.453376594,6.68403530213,689.68,655.99,668.84,665.1
536,HH-029,PupilCalib,679.407556918,6.70868369229,686.77,585.09,681.55,676.05
537,HH-053,HH-053_allsc,665.42405516,16.4455114899,713.81,609.71,663.84,702.99
538,HH-053,Reading,669.909515396,9.27608460186,698.39,636.31,678.67,697.98
539,HH-053,Memory,657.246028417,19.8464004001,713.81,612.42,702.78,702.99
540,HH-053,CookieTheft,666.770850123,16.353353958,709.32,609.71,696.81,705.98
541,HH-053,PupilCalib,666.818082557,1.22174809443,669.83,663.33,663.84,668.75
542,HH-055,HH-055_allsc,658.013432076,7.60136382369,678.02,620.57,675.58,656.88
543,HH-055,Reading,651.95852329,7.35919635793,668.3,620.57,663.08,648.77
544,HH-055,Memory,661.069543598,1.9617710945,665.24,655.04,660.08,656.88
545,HH-055,CookieTheft,659.074685393,6.74786922255,678.02,638.66,672.49,661.58
546,HH-055,PupilCalib,668.387022961,2.09772883116,677.99,665.88,675.58,667.14
547,HH-056,HH-056_allsc,676.137826152,12.180989004,699.35,573.96,684.57,670.28
548,HH-056,Reading,678.937208772,16.6232595662,699.35,573.96,684.08,671.86
549,HH-056,Memory,673.472095508,8.84226042587,690.42,616.12,665.83,670.28
550,HH-056,CookieTheft,673.557570606,9.01508989552,693.06,643.9,679.48,651.14
